PO No,Item No A,Material No,Description,PO Item Qty,PO Item Price,PO Item Net Value,Currency,GR No,Item No B,GR Qty,PO Delivery No
1130388639,10,Not Available,SUNDSTROM BATTERY FOR SR500 (R06-0108),4,415,1660,SGD,5001253832,1,2,2217920
1130388639,10,Not Available,SUNDSTROM BATTERY FOR SR500 (R06-0108),4,415,1660,SGD,5001244644,1,2,Not Available
2230109283,10,Not Available,OVERHAUL BX AFES CYL S/N 01311M,4,4116,16464,SGD,5001268120,1,2,2217930
2230109283,20,Not Available,OVERHAUL BX AFES CYL S/N 01309M,6,4116,24696,SGD,5001268120,2,2,2217930
2230109283,30,Not Available,ADD JOB: AFES BOTTLE 01311M,4,4634,18536,SGD,5001268121,1,2,2217935
2230109283,40,Not Available,ADD JOB: AFES BOTTLE 01309M,8,4159,33272,SGD,Not Available,Not Available,Not Available,Not Available
2230109285,10,Not Available,OVERHAUL BX AFES CYL S/N 01311M,4,4116,16464,SGD,5001268120,1,3,Not Available
2230109285,20,Not Available,OVERHAUL BX AFES CYL S/N 01309M,6,4116,24696,SGD,5001268120,2,2,Not Available
2230109285,30,Not Available,ADD JOB: AFES BOTTLE 01311M,4,4634,18536,SGD,Not Available,Not Available,Not Available,Not Available
2230109285,40,Not Available,ADD JOB: AFES BOTTLE 01309M,8,4159,33272,SGD,Not Available,Not Available,Not Available,Not Available
2830009990,10,81-38100-6777,POWER TAKE-OFF NH/4C,1,896.55,896.55,EUR,5001259204,,1,Not Available
2830009990,20,81-52102-6410,AIR DRIER,9,398.47,3586.23,EUR,5001259203,,9,9896999517
2830009990,30,81-15403-6146,SUPPLY MODULE D06,2,2118.2,4236.4,EUR,5001259203,,2,9896999517